algorithm,seed,n,solution_found,solution,nodes_explored,time_taken,valid_solution
forward_checking,17,4,True,"[1, 3, 0, 2]",7,0.0001316070556640625,True
forward_checking,18,4,True,"[1, 3, 0, 2]",7,0.00014591217041015625,True
forward_checking,19,4,True,"[1, 3, 0, 2]",7,0.0002117156982421875,True
forward_checking,20,4,True,"[1, 3, 0, 2]",7,0.0001423358917236328,True
forward_checking,21,4,True,"[1, 3, 0, 2]",7,9.584426879882812e-05,True
forward_checking,22,4,True,"[1, 3, 0, 2]",7,7.748603820800781e-05,True
forward_checking,23,4,True,"[1, 3, 0, 2]",7,0.00010800361633300781,True
forward_checking,24,4,True,"[1, 3, 0, 2]",7,8.58306884765625e-05,True
forward_checking,25,4,True,"[1, 3, 0, 2]",7,9.5367431640625e-05,True
forward_checking,26,4,True,"[1, 3, 0, 2]",7,6.961822509765625e-05,True
forward_checking,27,4,True,"[1, 3, 0, 2]",7,8.893013000488281e-05,True
forward_checking,28,4,True,"[1, 3, 0, 2]",7,9.846687316894531e-05,True
forward_checking,29,4,True,"[1, 3, 0, 2]",7,0.00011014938354492188,True
forward_checking,0,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0017838478088378906,True
forward_checking,1,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.003223896026611328,True
forward_checking,2,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0019426345825195312,True
forward_checking,3,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0016095638275146484,True
forward_checking,4,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0020220279693603516,True
forward_checking,5,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0027379989624023438,True
forward_checking,6,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.001814126968383789,True
forward_checking,7,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.000978231430053711,True
forward_checking,8,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0008585453033447266,True
forward_checking,9,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0011305809020996094,True
forward_checking,10,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.000797271728515625,True
forward_checking,11,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0008404254913330078,True
forward_checking,12,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0007941722869873047,True
forward_checking,13,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.000812530517578125,True
forward_checking,14,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.002189159393310547,True
forward_checking,15,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.002646207809448242,True
forward_checking,16,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0013270378112792969,True
forward_checking,17,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0014190673828125,True
forward_checking,18,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0012860298156738281,True
forward_checking,19,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0018868446350097656,True
forward_checking,20,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0019235610961914062,True
forward_checking,21,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.002458333969116211,True
forward_checking,22,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0032570362091064453,True
forward_checking,23,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0021865367889404297,True
forward_checking,24,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.003239154815673828,True
forward_checking,25,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0020618438720703125,True
forward_checking,26,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0036339759826660156,True
forward_checking,27,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.001741170883178711,True
forward_checking,28,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.0031061172485351562,True
forward_checking,29,8,True,"[0, 4, 7, 5, 2, 6, 1, 3]",53,0.001603841781616211,True
forward_checking,0,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0014643669128417969,True
forward_checking,1,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009827613830566406,True
forward_checking,2,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0016639232635498047,True
forward_checking,3,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.001013040542602539,True
forward_checking,4,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010097026824951172,True
forward_checking,5,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0013675689697265625,True
forward_checking,6,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010981559753417969,True
forward_checking,7,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010809898376464844,True
forward_checking,8,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010874271392822266,True
forward_checking,9,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0013279914855957031,True
forward_checking,10,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009996891021728516,True
forward_checking,11,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.003252267837524414,True
forward_checking,12,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010154247283935547,True
forward_checking,13,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0015954971313476562,True
forward_checking,14,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0012159347534179688,True
forward_checking,15,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0013096332550048828,True
forward_checking,16,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0010170936584472656,True
forward_checking,17,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009999275207519531,True
forward_checking,18,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.001413583755493164,True
forward_checking,19,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0012278556823730469,True
forward_checking,20,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0020723342895507812,True
forward_checking,21,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.001596212387084961,True
forward_checking,22,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009851455688476562,True
forward_checking,23,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.001131296157836914,True
forward_checking,24,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009980201721191406,True
forward_checking,25,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.001009225845336914,True
forward_checking,26,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0009887218475341797,True
forward_checking,27,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0028138160705566406,True
forward_checking,28,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0008320808410644531,True
forward_checking,29,10,True,"[0, 2, 5, 8, 6, 9, 3, 1, 4, 7]",27,0.0027675628662109375,True
