agent_name,size,dirt_rate,seed,repetition,initial_dirt,final_dirt,cells_cleaned,actions_taken,performance,success,is_finished,runtime_sec,recording
simple_reflex,2x2,0.8,111,1,0,0,0,23,-0.23,True,True,0.45,game_2025-08-25_17-42-56_julianfernandezrandomagent.json
random,2x2,0.8,222,1,0,0,0,76,-0.76,True,True,0.797,game_2025-08-25_17-42-57_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,222,1,0,0,0,21,-0.21,True,True,0.433,game_2025-08-25_17-42-57_julianfernandezrandomagent.json
random,2x2,0.8,333,1,0,0,0,21,-0.21,True,True,0.439,game_2025-08-25_17-42-57_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,333,1,0,0,0,13,-0.13,True,True,0.386,game_2025-08-25_17-42-58_julianfernandezrandomagent.json
random,2x2,0.8,444,1,0,0,0,77,-0.77,True,True,0.787,game_2025-08-25_17-42-59_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,444,1,0,0,0,29,-0.29,True,True,0.505,game_2025-08-25_17-42-59_julianfernandezrandomagent.json
random,2x2,0.8,555,1,0,0,0,27,-0.27,True,True,0.478,game_2025-08-25_17-43-00_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,555,1,0,0,0,10,-0.1,True,True,0.37,game_2025-08-25_17-43-00_julianfernandezrandomagent.json
random,2x2,0.8,666,1,0,0,0,66,-0.66,True,True,0.724,game_2025-08-25_17-43-01_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,666,1,0,0,0,18,-0.18,True,True,0.419,game_2025-08-25_17-43-01_julianfernandezrandomagent.json
random,2x2,0.8,777,1,0,0,0,37,-0.37,True,True,0.546,game_2025-08-25_17-43-02_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,777,1,0,0,0,11,-0.11,True,True,0.378,game_2025-08-25_17-43-02_julianfernandezrandomagent.json
random,2x2,0.8,888,1,0,0,0,30,-0.3,True,True,0.494,game_2025-08-25_17-43-03_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,888,1,0,0,0,21,-0.21,True,True,0.442,game_2025-08-25_17-43-03_julianfernandezrandomagent.json
random,2x2,0.8,999,1,0,0,0,60,-0.6,True,True,0.691,game_2025-08-25_17-43-04_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,999,1,0,0,0,14,-0.14,True,True,0.411,game_2025-08-25_17-43-04_julianfernandezrandomagent.json
random,2x2,0.8,0,1,0,0,0,40,-0.4,True,True,0.559,game_2025-08-25_17-43-05_julianfernandezrandomagent.json
simple_reflex,2x2,0.8,0,1,0,0,0,13,-0.13,True,True,0.397,game_2025-08-25_17-43-05_julianfernandezrandomagent.json
random,4x4,0.1,111,1,0,0,0,45,-0.45,True,True,0.596,game_2025-08-25_17-43-06_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,111,1,0,0,0,1,-0.01,True,True,0.312,game_2025-08-25_17-43-06_julianfernandezrandomagent.json
random,4x4,0.1,222,1,0,0,0,53,-0.53,True,True,0.648,game_2025-08-25_17-43-07_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,222,1,0,0,0,44,-0.44,True,True,0.59,game_2025-08-25_17-43-07_julianfernandezrandomagent.json
random,4x4,0.1,333,1,0,0,0,159,-1.59,True,True,1.311,game_2025-08-25_17-43-09_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,333,1,0,0,0,2,-0.02,True,True,0.333,game_2025-08-25_17-43-09_julianfernandezrandomagent.json
random,4x4,0.1,444,1,0,0,0,17,-0.17,True,True,0.416,game_2025-08-25_17-43-09_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,444,1,0,0,0,2,-0.02,True,True,0.318,game_2025-08-25_17-43-10_julianfernandezrandomagent.json
random,4x4,0.1,555,1,0,0,0,70,-0.7000000000000001,True,True,0.759,game_2025-08-25_17-43-10_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,555,1,0,0,0,1,-0.01,True,True,0.309,game_2025-08-25_17-43-11_julianfernandezrandomagent.json
random,4x4,0.1,666,1,0,0,0,276,-2.7600000000000002,True,True,2.057,game_2025-08-25_17-43-13_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,666,1,0,0,0,15,-0.15,True,True,0.419,game_2025-08-25_17-43-13_julianfernandezrandomagent.json
random,4x4,0.1,777,1,0,0,0,3,-0.03,True,True,0.326,game_2025-08-25_17-43-13_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,777,1,0,0,0,1,-0.01,True,True,0.311,game_2025-08-25_17-43-14_julianfernandezrandomagent.json
random,4x4,0.1,888,1,0,0,0,132,-1.32,True,True,1.169,game_2025-08-25_17-43-15_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,888,1,0,0,0,27,-0.27,True,True,0.477,game_2025-08-25_17-43-15_julianfernandezrandomagent.json
random,4x4,0.1,999,1,0,0,0,32,-0.32,True,True,0.51,game_2025-08-25_17-43-16_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,999,1,0,0,0,5,-0.05,True,True,0.338,game_2025-08-25_17-43-16_julianfernandezrandomagent.json
random,4x4,0.1,0,1,0,0,0,188,-1.8800000000000001,True,True,1.498,game_2025-08-25_17-43-18_julianfernandezrandomagent.json
simple_reflex,4x4,0.1,0,1,0,0,0,46,-0.46,True,True,0.603,game_2025-08-25_17-43-18_julianfernandezrandomagent.json
random,4x4,0.2,111,1,0,0,0,226,-2.2600000000000002,True,True,1.737,game_2025-08-25_17-43-20_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,111,1,0,0,0,38,-0.38,True,True,0.549,game_2025-08-25_17-43-21_julianfernandezrandomagent.json
random,4x4,0.2,222,1,0,0,0,276,-2.7600000000000002,True,True,2.086,game_2025-08-25_17-43-23_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,222,1,0,0,0,46,-0.46,True,True,0.593,game_2025-08-25_17-43-23_julianfernandezrandomagent.json
random,4x4,0.2,333,1,0,0,0,159,-1.59,True,True,1.333,game_2025-08-25_17-43-25_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,333,1,0,0,0,22,-0.22,True,True,0.454,game_2025-08-25_17-43-25_julianfernandezrandomagent.json
random,4x4,0.2,444,1,0,0,0,48,-0.48,True,True,0.611,game_2025-08-25_17-43-26_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,444,1,0,0,0,32,-0.32,True,True,0.507,game_2025-08-25_17-43-26_julianfernandezrandomagent.json
random,4x4,0.2,555,1,0,0,0,70,-0.7000000000000001,True,True,0.749,game_2025-08-25_17-43-27_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,555,1,0,0,0,42,-0.42,True,True,0.571,game_2025-08-25_17-43-28_julianfernandezrandomagent.json
random,4x4,0.2,666,1,0,0,0,629,-6.29,True,True,4.354,game_2025-08-25_17-43-32_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,666,1,0,0,0,17,-0.17,True,True,0.416,game_2025-08-25_17-43-32_julianfernandezrandomagent.json
random,4x4,0.2,777,1,0,0,0,244,-2.44,True,True,1.883,game_2025-08-25_17-43-34_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,777,1,0,0,0,152,-1.52,True,True,1.278,game_2025-08-25_17-43-36_julianfernandezrandomagent.json
random,4x4,0.2,888,1,0,0,0,132,-1.32,True,True,1.143,game_2025-08-25_17-43-37_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,888,1,0,0,0,43,-0.43,True,True,0.581,game_2025-08-25_17-43-37_julianfernandezrandomagent.json
random,4x4,0.2,999,1,0,0,0,113,-1.1300000000000001,True,True,1.029,game_2025-08-25_17-43-38_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,999,1,0,0,0,47,-0.47000000000000003,True,True,0.616,game_2025-08-25_17-43-39_julianfernandezrandomagent.json
random,4x4,0.2,0,1,0,0,0,285,-2.85,True,True,2.122,game_2025-08-25_17-43-41_julianfernandezrandomagent.json
simple_reflex,4x4,0.2,0,1,0,0,0,48,-0.48,True,True,0.619,game_2025-08-25_17-43-42_julianfernandezrandomagent.json
random,4x4,0.4,111,1,0,0,0,226,-2.2600000000000002,True,True,1.772,game_2025-08-25_17-43-43_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,111,1,0,0,0,138,-1.3800000000000001,True,True,1.189,game_2025-08-25_17-43-45_julianfernandezrandomagent.json
random,4x4,0.4,222,1,0,0,0,423,-4.23,True,True,3.022,game_2025-08-25_17-43-48_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,222,1,0,0,0,99,-0.99,True,True,0.932,game_2025-08-25_17-43-49_julianfernandezrandomagent.json
random,4x4,0.4,333,1,0,0,0,685,-6.8500000000000005,True,True,4.717,game_2025-08-25_17-43-53_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,333,1,0,0,0,43,-0.43,True,True,0.578,game_2025-08-25_17-43-54_julianfernandezrandomagent.json
random,4x4,0.4,444,1,0,0,0,372,-3.72,True,True,2.713,game_2025-08-25_17-43-57_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,444,1,0,0,0,54,-0.54,True,True,0.657,game_2025-08-25_17-43-57_julianfernandezrandomagent.json
random,4x4,0.4,555,1,0,0,0,334,-3.34,True,True,2.47,game_2025-08-25_17-44-00_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,555,1,0,0,0,45,-0.45,True,True,0.602,game_2025-08-25_17-44-00_julianfernandezrandomagent.json
random,4x4,0.4,666,1,0,0,0,629,-6.29,True,True,4.388,game_2025-08-25_17-44-05_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,666,1,0,0,0,23,-0.23,True,True,0.459,game_2025-08-25_17-44-05_julianfernandezrandomagent.json
random,4x4,0.4,777,1,0,0,0,244,-2.44,True,True,1.881,game_2025-08-25_17-44-07_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,777,1,0,0,0,155,-1.55,True,True,1.286,game_2025-08-25_17-44-08_julianfernandezrandomagent.json
random,4x4,0.4,888,1,0,0,0,493,-4.93,True,True,3.452,game_2025-08-25_17-44-12_julianfernandezrandomagent.json
simple_reflex,4x4,0.4,888,1,0,0,0,204,-2.04,True,True,1.639,game_2025-08-25_17-44-14_julianfernandezrandomagent.json
random,4x4,0.4,999,1,0,0,0,117,-1.17,True,True,1.062,game_2025-08-25_17-44-15_julianfernandezrandomagent.json
