algorithm_name,env_n,size,best_solution,H,states,time
random,1,8,"[0, 6, 1, 5, 7, 1, 4, 2]",1,20000,0.11780357360839844
random,2,8,"[2, 5, 3, 0, 7, 4, 4, 1]",1,20000,0.12682843208312988
random,3,8,"[2, 5, 7, 2, 0, 6, 4, 1]",1,20000,0.11312723159790039
random,4,8,"[7, 1, 3, 0, 6, 4, 2, 5]",0,18733,0.10545730590820312
random,5,8,"[3, 5, 7, 2, 0, 6, 6, 0]",2,20000,0.11090779304504395
random,6,8,"[3, 1, 4, 7, 0, 3, 5, 2]",1,20000,0.1104433536529541
random,7,8,"[6, 0, 2, 5, 1, 4, 7, 3]",1,20000,0.10988402366638184
random,8,8,"[2, 4, 6, 1, 3, 5, 0, 4]",1,20000,0.10766124725341797
random,9,8,"[7, 4, 1, 3, 6, 0, 2, 5]",1,20000,0.1063847541809082
random,10,8,"[4, 1, 7, 0, 2, 0, 5, 3]",1,20000,0.10622262954711914
random,11,8,"[3, 1, 4, 7, 1, 6, 2, 5]",1,20000,0.10628318786621094
random,12,8,"[3, 5, 7, 2, 0, 2, 6, 1]",1,20000,0.11191654205322266
random,13,8,"[4, 6, 0, 2, 7, 5, 3, 1]",0,3533,0.01895761489868164
random,14,8,"[2, 5, 3, 1, 7, 4, 6, 0]",0,9945,0.05535888671875
random,15,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,13650,0.07328128814697266
random,16,8,"[2, 0, 6, 4, 7, 1, 0, 5]",2,20000,0.10649394989013672
random,17,8,"[4, 7, 5, 2, 6, 1, 3, 0]",1,20000,0.1114051342010498
random,18,8,"[4, 7, 3, 0, 7, 5, 1, 6]",1,20000,0.1071014404296875
random,19,8,"[2, 6, 1, 7, 0, 3, 6, 4]",1,20000,0.10727715492248535
random,20,8,"[5, 2, 6, 1, 3, 5, 0, 4]",1,20000,0.10810351371765137
random,21,8,"[4, 7, 0, 3, 6, 2, 5, 2]",1,20000,0.1065516471862793
random,22,8,"[6, 2, 5, 1, 4, 0, 5, 3]",1,20000,0.10692214965820312
random,23,8,"[2, 7, 5, 1, 3, 0, 6, 4]",1,20000,0.10689568519592285
random,24,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,18434,0.09861397743225098
random,25,8,"[2, 2, 7, 1, 3, 0, 6, 4]",1,20000,0.10926151275634766
random,26,8,"[7, 0, 5, 3, 1, 6, 4, 2]",1,20000,0.10734295845031738
random,27,8,"[5, 7, 1, 4, 0, 3, 6, 2]",1,20000,0.1065220832824707
random,28,8,"[0, 4, 6, 1, 2, 7, 5, 3]",1,20000,0.11002278327941895
random,29,8,"[1, 6, 0, 3, 5, 7, 2, 4]",1,20000,0.1075897216796875
HC,0,8,"[6, 1, 5, 2, 0, 3, 7, 4]",0,169,0.0008473396301269531
HC,1,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,169,0.0007781982421875
HC,2,8,"[5, 0, 4, 1, 4, 6, 3, 0]",2,225,0.0011525154113769531
HC,3,8,"[0, 5, 7, 2, 1, 6, 4, 3]",2,57,0.0002646446228027344
HC,4,8,"[1, 5, 0, 4, 7, 0, 6, 3]",2,225,0.0010216236114501953
HC,5,8,"[6, 3, 0, 4, 7, 2, 5, 1]",2,225,0.0010294914245605469
HC,6,8,"[5, 0, 6, 4, 2, 7, 3, 1]",1,225,0.0010237693786621094
HC,7,8,"[6, 0, 2, 4, 7, 3, 1, 5]",2,169,0.0007622241973876953
HC,8,8,"[5, 0, 6, 4, 1, 7, 0, 3]",2,113,0.0005171298980712891
HC,9,8,"[3, 0, 6, 1, 5, 2, 4, 7]",1,225,0.0010213851928710938
HC,10,8,"[2, 0, 5, 7, 4, 6, 3, 1]",1,169,0.0007660388946533203
HC,11,8,"[1, 4, 0, 5, 3, 1, 6, 2]",1,281,0.0012700557708740234
HC,12,8,"[4, 0, 0, 6, 1, 5, 2, 7]",2,225,0.001035928726196289
HC,13,8,"[3, 6, 0, 7, 1, 5, 2, 4]",2,169,0.0007688999176025391
HC,14,8,"[0, 2, 3, 7, 6, 1, 5, 1]",3,169,0.00079345703125
HC,15,8,"[7, 2, 5, 1, 6, 4, 0, 3]",2,57,0.0002639293670654297
HC,16,8,"[5, 1, 1, 7, 2, 6, 3, 0]",1,225,0.0010216236114501953
HC,17,8,"[3, 1, 4, 5, 0, 2, 7, 6]",2,225,0.0010333061218261719
HC,18,8,"[1, 4, 6, 0, 3, 5, 0, 2]",1,113,0.0006270408630371094
HC,19,8,"[5, 2, 4, 1, 7, 4, 6, 0]",1,113,0.0005223751068115234
HC,20,8,"[1, 4, 6, 3, 0, 5, 7, 2]",2,225,0.0010828971862792969
HC,21,8,"[4, 7, 1, 4, 6, 5, 0, 2]",2,225,0.0010313987731933594
HC,22,8,"[1, 7, 5, 3, 0, 6, 4, 2]",1,281,0.0012664794921875
HC,23,8,"[7, 3, 1, 7, 5, 0, 6, 4]",1,113,0.0005230903625488281
HC,24,8,"[3, 5, 2, 5, 1, 4, 7, 0]",1,225,0.001024007797241211
HC,25,8,"[5, 4, 0, 3, 6, 2, 7, 1]",1,393,0.0018205642700195312
HC,26,8,"[2, 6, 2, 0, 7, 1, 5, 3]",3,113,0.0005159378051757812
HC,27,8,"[3, 4, 0, 1, 6, 2, 5, 7]",2,57,0.00026679039001464844
HC,28,8,"[4, 2, 0, 6, 1, 7, 5, 3]",0,169,0.000762939453125
HC,29,8,"[3, 6, 0, 7, 5, 4, 2, 1]",2,225,0.0010099411010742188
SA,0,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,431,0.002432584762573242
SA,1,8,"[7, 3, 1, 6, 2, 5, 7, 4]",1,1839,0.01028299331665039
SA,2,8,"[6, 3, 1, 7, 5, 0, 2, 4]",0,542,0.0029833316802978516
SA,3,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,494,0.002758026123046875
SA,4,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,1340,0.007508754730224609
SA,5,8,"[1, 4, 6, 0, 2, 7, 5, 3]",0,537,0.0029811859130859375
SA,6,8,"[3, 1, 7, 4, 6, 0, 2, 5]",0,409,0.0022640228271484375
SA,7,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,1420,0.007883071899414062
SA,8,8,"[2, 0, 6, 4, 7, 1, 3, 5]",0,522,0.003037691116333008
SA,9,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,187,0.0010342597961425781
SA,10,8,"[4, 6, 3, 0, 2, 7, 5, 1]",0,591,0.003484010696411133
SA,11,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,223,0.001237630844116211
SA,12,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,502,0.00278472900390625
SA,13,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,845,0.004697084426879883
SA,14,8,"[7, 1, 4, 2, 0, 6, 3, 5]",0,596,0.0033173561096191406
SA,15,8,"[5, 0, 4, 1, 7, 2, 6, 3]",0,276,0.0015711784362792969
SA,16,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,577,0.003171682357788086
SA,17,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,408,0.0022444725036621094
SA,18,8,"[2, 5, 7, 1, 3, 0, 6, 4]",0,599,0.0033254623413085938
SA,19,8,"[3, 5, 7, 2, 0, 6, 4, 1]",0,351,0.0019288063049316406
SA,20,8,"[6, 1, 3, 0, 7, 4, 2, 5]",0,394,0.002164125442504883
SA,21,8,"[4, 1, 5, 0, 6, 3, 7, 2]",0,398,0.0021843910217285156
SA,22,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,867,0.0048465728759765625
SA,23,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,774,0.0042688846588134766
SA,24,8,"[4, 2, 0, 6, 3, 5, 7, 1]",1,1839,0.0104522705078125
SA,25,8,"[3, 1, 6, 4, 0, 7, 5, 2]",0,403,0.0022444725036621094
SA,26,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,530,0.002928495407104492
SA,27,8,"[3, 0, 4, 1, 5, 2, 6, 1]",1,1839,0.010290384292602539
SA,28,8,"[4, 6, 0, 3, 1, 7, 5, 2]",0,608,0.003373384475708008
SA,29,8,"[0, 6, 3, 5, 7, 1, 4, 2]",0,257,0.0014140605926513672
GA,0,8,"[4, 7, 3, 0, 6, 1, 5, 2]",0,720,0.007920980453491211
GA,1,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,480,0.005209922790527344
GA,2,8,"[5, 1, 6, 0, 3, 7, 4, 2]",0,960,0.010387182235717773
GA,3,8,"[2, 6, 1, 7, 5, 3, 0, 4]",0,120,0.0008528232574462891
GA,4,8,"[4, 6, 1, 3, 7, 0, 2, 5]",0,960,0.010643959045410156
GA,5,8,"[5, 3, 6, 0, 2, 4, 1, 7]",0,120,0.0008499622344970703
GA,6,8,"[3, 7, 0, 4, 6, 1, 5, 2]",0,120,0.0008490085601806641
GA,7,8,"[5, 7, 1, 3, 0, 6, 4, 2]",0,600,0.006371974945068359
GA,8,8,"[2, 4, 7, 3, 0, 6, 1, 5]",0,15000,0.16809415817260742
GA,9,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,600,0.006607770919799805
GA,10,8,"[6, 1, 5, 2, 0, 3, 7, 4]",0,480,0.004986286163330078
GA,11,8,"[3, 1, 4, 7, 5, 0, 2, 6]",0,1320,0.014771461486816406
GA,12,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,120,0.0008535385131835938
GA,13,8,"[0, 6, 4, 7, 1, 3, 5, 2]",0,360,0.003586292266845703
GA,14,8,"[4, 1, 3, 5, 7, 2, 0, 6]",0,360,0.0036513805389404297
GA,15,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,960,0.010653495788574219
GA,16,8,"[5, 3, 6, 0, 7, 1, 4, 2]",0,1080,0.011930227279663086
GA,17,8,"[2, 5, 7, 0, 4, 6, 1, 3]",0,720,0.00802469253540039
GA,18,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,240,0.002218484878540039
GA,19,8,"[1, 7, 5, 0, 2, 4, 6, 3]",0,120,0.0008475780487060547
GA,20,8,"[3, 6, 2, 7, 1, 4, 0, 5]",0,720,0.0077724456787109375
GA,21,8,"[5, 1, 6, 0, 2, 4, 7, 3]",0,840,0.009083986282348633
