algorithm_name,env_n,states_n,actions_count,actions_cost,time,solution_found,scenario
DLS50,13,1250,0,0,0.0025556087493896484,False,scenario1
DLS75,13,2307,0,0,0.0041615962982177734,False,scenario1
DLS100,13,449,95,95,0.0007395744323730469,True,scenario1
UCS,13,4794,83,83,0.012835025787353516,True,scenario1
A*,13,4794,83,83,0.011907815933227539,True,scenario1
RANDOM,13,361,0,0,0.0017879009246826172,False,scenario2
BFS,13,4789,83,650,0.006871700286865234,True,scenario2
DFS,13,5852,479,3170,0.01410055160522461,True,scenario2
DLS50,13,1250,0,0,0.0023827552795410156,False,scenario2
DLS75,13,2307,0,0,0.004130363464355469,False,scenario2
DLS100,13,449,95,770,0.0007433891296386719,True,scenario2
UCS,13,7243,83,650,0.022629976272583008,True,scenario2
A*,13,1110,83,650,0.0032777786254882812,True,scenario2
RANDOM,14,329,0,0,0.0016286373138427734,False,scenario1
BFS,14,6366,67,67,0.010456085205078125,True,scenario1
DFS,14,5860,299,299,0.01610398292541504,True,scenario1
DLS50,14,1359,0,0,0.0024645328521728516,False,scenario1
DLS75,14,2167,0,0,0.0040094852447509766,False,scenario1
DLS100,14,2492,0,0,0.004587411880493164,False,scenario1
UCS,14,6387,67,67,0.02082228660583496,True,scenario1
A*,14,6387,67,67,0.020523548126220703,True,scenario1
RANDOM,14,200,0,0,0.0017001628875732422,False,scenario2
BFS,14,6366,67,427,0.010374307632446289,True,scenario2
DFS,14,5860,299,1937,0.013949394226074219,True,scenario2
DLS50,14,1359,0,0,0.002496480941772461,False,scenario2
DLS75,14,2167,0,0,0.004619121551513672,False,scenario2
DLS100,14,2492,0,0,0.004358768463134766,False,scenario2
UCS,14,7311,67,427,0.023227214813232422,True,scenario2
A*,14,945,67,427,0.0027277469635009766,True,scenario2
RANDOM,15,324,0,0,0.001737356185913086,False,scenario1
BFS,15,6896,96,96,0.011289834976196289,True,scenario1
DFS,15,8099,358,358,0.019375324249267578,True,scenario1
DLS50,15,527,0,0,0.0009200572967529297,False,scenario1
DLS75,15,1142,0,0,0.0018188953399658203,False,scenario1
DLS100,15,2120,0,0,0.004297971725463867,False,scenario1
UCS,15,6874,96,96,0.020883798599243164,True,scenario1
A*,15,6874,96,96,0.021727323532104492,True,scenario1
RANDOM,15,175,0,0,0.0019931793212890625,False,scenario2
BFS,15,6896,96,780,0.011260271072387695,True,scenario2
DFS,15,8099,358,2032,0.01826763153076172,True,scenario2
DLS50,15,527,0,0,0.0009222030639648438,False,scenario2
DLS75,15,1142,0,0,0.0018312931060791016,False,scenario2
DLS100,15,2120,0,0,0.0040166378021240234,False,scenario2
UCS,15,7635,96,780,0.024298667907714844,True,scenario2
A*,15,1361,96,780,0.004630088806152344,True,scenario2
RANDOM,16,408,0,0,0.0015671253204345703,False,scenario1
BFS,16,2289,37,37,0.0031151771545410156,True,scenario1
DFS,16,6917,319,319,0.015970706939697266,True,scenario1
DLS50,16,941,0,0,0.0014982223510742188,False,scenario1
DLS75,16,1327,0,0,0.0022008419036865234,False,scenario1
DLS100,16,3638,0,0,0.006858110427856445,False,scenario1
UCS,16,2303,37,37,0.005517482757568359,True,scenario1
A*,16,2303,37,37,0.005517005920410156,True,scenario1
RANDOM,16,281,0,0,0.0016319751739501953,False,scenario2
BFS,16,2289,37,334,0.0032944679260253906,True,scenario2
DFS,16,6917,319,1642,0.01652216911315918,True,scenario2
DLS50,16,941,0,0,0.0017399787902832031,False,scenario2
DLS75,16,1327,0,0,0.002420186996459961,False,scenario2
DLS100,16,3638,0,0,0.006887912750244141,False,scenario2
UCS,16,5536,37,334,0.017751693725585938,True,scenario2
A*,16,151,37,334,0.0004677772521972656,True,scenario2
RANDOM,17,304,0,0,0.0016181468963623047,False,scenario1
BFS,17,9224,142,142,0.014238595962524414,True,scenario1
DFS,17,8610,314,314,0.019724607467651367,True,scenario1
DLS50,17,770,0,0,0.0013015270233154297,False,scenario1
DLS75,17,843,0,0,0.0013625621795654297,False,scenario1
DLS100,17,1450,0,0,0.0029523372650146484,False,scenario1
UCS,17,9221,142,142,0.026957035064697266,True,scenario1
A*,17,9221,142,142,0.028532028198242188,True,scenario1
RANDOM,17,356,0,0,0.002185344696044922,False,scenario2
BFS,17,9224,142,628,0.015424013137817383,True,scenario2
DFS,17,8610,314,1970,0.021117687225341797,True,scenario2
DLS50,17,770,0,0,0.0013403892517089844,False,scenario2
DLS75,17,843,0,0,0.0013554096221923828,False,scenario2
DLS100,17,1450,0,0,0.0030624866485595703,False,scenario2
UCS,17,9094,142,628,0.029474258422851562,True,scenario2
A*,17,4397,142,628,0.014808177947998047,True,scenario2
